epoch,train_loss,valid_loss,valid_mse,valid_rmse,valid_mae,valid_r2_score,valid_EVS_score,time
0,1.1239042005409816,1.0656037931467828,1.0656038522720337,1.0322809219360352,0.9140695929527283,-11.261632919311523,-1.6474804878234863,00:00
1,1.1141892217344658,1.0566604479844888,1.0566604137420654,1.0279399156570435,0.9101617932319641,-11.158722877502441,-1.6266005039215088,00:00
2,1.1042750817894704,1.047693726661241,1.0476933717727661,1.0235689878463745,0.9062129855155945,-11.055542945861816,-1.605949878692627,00:00
3,1.0942655522772606,1.038490999617005,1.0384907722473145,1.0190637111663818,0.9021337628364563,-10.949650764465332,-1.5849394798278809,00:00
4,1.084014243267952,1.0287162111619113,1.02871572971344,1.014256238937378,0.8977935314178467,-10.837172508239746,-1.5623517036437988,00:00
5,1.0734176193030707,1.0186769915741096,1.0186768770217896,1.0092952251434326,0.8933084607124329,-10.721657752990723,-1.5392746925354004,00:00
6,1.0619485585786388,1.0083217262902144,1.0083214044570923,1.0041520595550537,0.8886165022850037,-10.602499961853027,-1.5163195133209229,00:00
7,1.0503965042084744,0.9969473538933837,0.9969475269317627,0.9984726309776306,0.8834874033927917,-10.471622467041016,-1.4900307655334473,00:00
8,1.0376194966830876,0.9853956031872367,0.9853954911231995,0.9926708936691284,0.8781796097755432,-10.338696479797363,-1.4646987915039062,00:00
9,1.0243745136076523,0.9729309666435274,0.9729307889938354,0.9863725304603577,0.8724252581596375,-10.195267677307129,-1.4371862411499023,00:00
10,1.0105537694934719,0.9594796690982861,0.9594795107841492,0.9795302748680115,0.8661930561065674,-10.040488243103027,-1.4070870876312256,00:00
11,0.9955793782866901,0.9452477947864802,0.945248007774353,0.9722386598587036,0.8595227599143982,-9.876729011535645,-1.3757820129394531,00:00
12,0.979678834660602,0.9304137505685083,0.9304138422012329,0.9645796418190002,0.8524906039237976,-9.706035614013672,-1.343618392944336,00:00
